Feature,Coefficient,Abs_Coefficient
num__tenure,-1.0642418931174347,1.0642418931174347
cat__TenureGroup_nan,-0.6449471448888007,0.6449471448888007
cat__TenureGroup_Very Loyal,0.5882091649615898,0.5882091649615898
num__EngagementScore,-0.5295485617947626,0.5295485617947626
cat__InternetService_DSL,-0.4877103154057365,0.4877103154057365
num__ContractRiskScore,0.47642927668748003,0.47642927668748003
cat__InternetService_Fiber optic,0.4255191878323203,0.4255191878323203
cat__PaperlessBilling_No,-0.31449515037493025,0.31449515037493025
cat__TenureGroup_Regular,-0.29266252593261094,0.29266252593261094
cat__MultipleLines_No,-0.28157415156208454,0.28157415156208454
num__CLV,0.2630333741459504,0.2630333741459504
cat__Contract_Two year,-0.25955179243390303,0.25955179243390303
cat__PhoneService_Yes,-0.2492262345329528,0.2492262345329528
cat__OnlineSecurity_No internet service,-0.22147623131745325,0.22147623131745325
cat__InternetService_No,-0.22147623131745325,0.22147623131745325
cat__OnlineBackup_No internet service,-0.22147623131745325,0.22147623131745325
cat__DeviceProtection_No internet service,-0.22147623131745325,0.22147623131745325
cat__TechSupport_No internet service,-0.22147623131745325,0.22147623131745325
cat__StreamingTV_No internet service,-0.22147623131745325,0.22147623131745325
cat__StreamingMovies_No internet service,-0.22147623131745325,0.22147623131745325
num__ServiceCount,0.21426869229215798,0.21426869229215798
cat__Dependents_Yes,-0.2107278546800567,0.2107278546800567
cat__StreamingMovies_No,-0.19141024531578024,0.19141024531578024
cat__StreamingTV_No,-0.18879005398302842,0.18879005398302842
cat__OnlineSecurity_Yes,-0.18569781465645654,0.18569781465645654
cat__PaymentMethod_Credit card (automatic),-0.18536229138088073,0.18536229138088073
cat__PaymentMethod_Electronic check,0.1848096101129791,0.1848096101129791
cat__PaymentMethod_Mailed check,-0.1769821497979515,0.1769821497979515
cat__TechSupport_Yes,-0.17451820605331592,0.17451820605331592
cat__gender_Male,-0.15292941178298233,0.15292941178298233
cat__Partner_No,-0.14437169630263808,0.14437169630263808
cat__Partner_Yes,-0.1392956625882428,0.1392956625882428
cat__gender_Female,-0.1307379471078869,0.1307379471078869
cat__StreamingMovies_Yes,0.12921911774237496,0.12921911774237496
cat__StreamingTV_Yes,0.1265989264096086,0.1265989264096086
cat__OnlineSecurity_No,0.12350668708303525,0.12350668708303525
num__MonthlyCharges,-0.11715721990365174,0.11715721990365174
cat__TechSupport_No,0.11232707847987977,0.11232707847987977
num__TotalCharges,0.10634798029692262,0.10634798029692262
cat__PaymentMethod_Bank transfer (automatic),-0.10613252782501877,0.10613252782501877
num__SeniorCitizen,0.08218587110852542,0.08218587110852542
cat__OnlineBackup_Yes,-0.07885790583207464,0.07885790583207464
cat__Contract_One year,-0.07395821501532311,0.07395821501532311
cat__Dependents_No,-0.07293950421081713,0.07293950421081713
cat__DeviceProtection_No,-0.05544772059864044,0.05544772059864044
cat__Contract_Month-to-month,0.04984264855834324,0.04984264855834324
cat__TenureGroup_New,0.046755384218364816,0.046755384218364816
cat__PhoneService_No,-0.03444112435792863,0.03444112435792863
cat__MultipleLines_No phone service,-0.03444112435792863,0.03444112435792863
num__HighValueCustomer,0.033834292780609516,0.033834292780609516
cat__MultipleLines_Yes,0.03234791702914811,0.03234791702914811
cat__PaperlessBilling_Yes,0.030827791484053586,0.030827791484053586
cat__TenureGroup_Loyal,0.018977762750564318,0.018977762750564318
cat__OnlineBackup_No,0.01666677825865807,0.01666677825865807
cat__DeviceProtection_Yes,-0.006743406974775721,0.006743406974775721
